title,authors,average_rating,isbn,# num_pages,library_url
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,304,https://openlibrary.org/books/OL8064287M/I'm_a_stranger_here_myself
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,299,https://openlibrary.org/books/OL7284433M/The_Lost_Continent
Neither Here nor There: Travels in Europe,Bill Bryson,3.87,0380713802,254,https://openlibrary.org/books/OL24215078M/Neither_here_nor_there
Notes from a Small Island,Bill Bryson,3.92,0380727501,324,https://openlibrary.org/books/OL18387769M/Notes_from_a_small_island
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,0380715430,270,https://openlibrary.org/books/OL18351186M/The_mother_tongue
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,1728,https://openlibrary.org/books/OL26063706M/The_Hobbit_And_The_Lord_Of_The_Rings_The_Hobbit_The_Fellowship_Of_The_Ring_The_Two_Towers_The_Return
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618517650,1184,https://openlibrary.org/books/OL3321902M/The_lord_of_the_rings
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618346244,1137,https://openlibrary.org/books/OL3380031M/The_lord_of_the_rings
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,0618346252,398,https://openlibrary.org/books/OL26889864M/The_Fellowship_of_the_Ring
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,0618260587,1216,https://openlibrary.org/books/OL3670214M/The_lord_of_the_rings
The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,0618391002,218,https://openlibrary.org/books/OL17109211M/The_Lord_of_the_rings
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,224,https://openlibrary.org/books/OL3433366M/The_Lord_of_the_Rings_complete_visual_companion
The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,0618153977,1223,no response found
Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,288,https://openlibrary.org/books/OL8813864M/Cooking_With_Fernet_Branca
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,558,https://openlibrary.org/books/OL18206986M/Agile_web_development_with_rails
Hatchet,Gary Paulsen,3.7,0689840926,208,https://openlibrary.org/books/OL23098630M/Hatchet
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,48,https://openlibrary.org/books/OL8598990M/A_Guide_for_Using_Hatchet_in_the_Classroom
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,0385326505,144,https://openlibrary.org/books/OL6783475M/Guts
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,56,https://openlibrary.org/books/OL8745080M/Molly_Hatchet_-_5_of_the_Best
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,228,https://openlibrary.org/books/OL8882582M/Hatchet_Jobs
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,304,https://openlibrary.org/books/OL8883105M/A_Changeling_For_All_Seasons
Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,256,https://openlibrary.org/books/OL24751620M/Changeling
The Changeling Sea,Patricia A. McKillip,4.07,0141312629,137,https://openlibrary.org/books/OL3391452M/The_changeling_sea
The Changeling,Zilpha Keatley Snyder,4.17,0595321801,228,https://openlibrary.org/books/OL7555276M/The_Changeling
The Changeling,Kate Horsley,3.56,1590301943,339,https://openlibrary.org/books/OL8845930M/The_Changeling
The Changeling (Daughters of England  #15),Philippa Carr,3.99,0449146979,369,https://openlibrary.org/books/OL24370093M/The_changeling
The Known World,Edward P. Jones,3.83,0061159174,388,https://openlibrary.org/books/OL7288913M/The_Known_World
The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,14,https://openlibrary.org/books/OL7281333M/The_Known_World_CD
The Known World,Edward P. Jones,3.83,0060749911,576,https://openlibrary.org/books/OL7280990M/The_Known_World
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,334,https://openlibrary.org/books/OL18270493M/Traders_guns_money
Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,352,https://openlibrary.org/books/OL8808704M/Artesia
The Known World,Edward P. Jones,3.83,096513671X,388,no response found
The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,0374517193,416,https://openlibrary.org/books/OL7424119M/The_John_McPhee_Reader
Uncommon Carriers,John McPhee,3.95,0374280398,248,https://openlibrary.org/books/OL23274937M/Uncommon_carriers
Heirs of General Practice,John McPhee,4.15,0374519749,128,https://openlibrary.org/books/OL2865708M/Heirs_of_general_practice
The Control of Nature,John McPhee,4.24,0374522596,288,https://openlibrary.org/books/OL22377285M/The_control_of_nature
Annals of the Former World,John McPhee,4.33,0374518734,720,https://openlibrary.org/books/OL17058904M/Annals_of_the_former_world
Coming Into the Country,John McPhee,4.22,0374522871,448,https://openlibrary.org/books/OL24979533M/Coming_into_the_country
La Place de la Concorde Suisse,John McPhee,3.91,0374519323,160,https://openlibrary.org/books/OL7424150M/La_Place_De_LA_Concorde_Suisse
Giving Good Weight,John McPhee,4.22,0374516006,288,https://openlibrary.org/books/OL22934001M/Giving_good_weight
Rising from the Plains,John McPhee,4.22,0374520658,208,no response found
The Heidi Chronicles,Wendy Wasserstein,3.73,0822205106,81,https://openlibrary.org/books/OL27263748M/The_Heidi_Chronicles._(Acting_Edition_for_Theater_Productions)
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,0679734996,249,https://openlibrary.org/books/OL1890661M/The_Heidi_chronicles_and_other_plays
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,138,https://openlibrary.org/books/OL8891489M/Active_Literacy_Across_the_Curriculum
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,128,https://openlibrary.org/books/OL3410355M/Simply_beautiful_beaded_jewelry
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,0800793617,192,https://openlibrary.org/books/OL7844822M/Always_Enough
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.7,0871202867,72,https://openlibrary.org/books/OL670763M/Mapping_the_big_picture
Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,0753454947,352,https://openlibrary.org/books/OL7987032M/Heidi_(Kingfisher_Classics)
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,0871209993,192,https://openlibrary.org/books/OL8346983M/Getting_Results_With_Curriculum_Mapping
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,192,https://openlibrary.org/books/OL8974731M/There's_Always_Enough
What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,0761129588,832,https://openlibrary.org/books/OL18393492M/What_to_expect_the_first_year
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,0972016414,123,https://openlibrary.org/books/OL3433903M/The_player's_handbook
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,128,https://openlibrary.org/books/OL23273190M/Simply_beautiful_beading
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,0441294677,423,https://openlibrary.org/books/OL7525477M/God_Emperor_of_Dune_(Dune_Chronicles_Book_4)
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,0441102670,436,https://openlibrary.org/books/OL16257424M/Chapterhouse_Dune
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,0441172695,331,https://openlibrary.org/books/OL7525229M/Dune_Messiah_(Dune_Chronicles_Book_2)
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.0,0765306476,592,https://openlibrary.org/books/OL8053394M/Dreamer_of_Dune
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,0399128980,480,https://openlibrary.org/books/OL3173739M/Heretics_of_Dune
The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,0765353709,426,https://openlibrary.org/books/OL26331601M/The_road_to_Dune
Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,0441104029,408,https://openlibrary.org/books/OL7524870M/Children_of_Dune_(Dune_Chronicles_Book_3)
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,0441328008,471,https://openlibrary.org/books/OL7525590M/Heretics_of_Dune_(Dune_Chronicles_Book_5)
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,544,https://openlibrary.org/books/OL1024913M/The_power_of_one
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,291,https://openlibrary.org/books/OL3309589M/The_power_of_one
The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,0785260056,256,https://openlibrary.org/books/OL8100123M/The_Power_of_One
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,0471780936,205,https://openlibrary.org/books/OL3416742M/The_power_of_an_hour
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,0325001537,240,https://openlibrary.org/books/OL48166M/The_power_of_one
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,336,https://openlibrary.org/books/OL20944560M/How_to_buy_sell_and_profit_on_eBay
eBay for Dummies,Marsha Collier,3.5,0470045299,386,https://openlibrary.org/books/OL18498114M/Ebay_for_dummies
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,0072262788,260,https://openlibrary.org/books/OL3419264M/What_to_sell_on_eBay_and_where_to_get_it
Starting an eBay Business for Dummies,Marsha Collier,3.52,0764569244,384,https://openlibrary.org/books/OL18396319M/Starting_an_e-Bay_business_for_dummies
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,260,https://openlibrary.org/books/OL7631218M/eBay
ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,0764559915,391,https://openlibrary.org/books/OL23013575M/EBay_timesaving_techniques_for_dummies
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,864,https://openlibrary.org/books/OL23030885M/EBay_business_all-in-one_desk_reference_for_dummies
Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,0596523696,873,https://openlibrary.org/books/OL17928392M/Ruby_cookbook
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,0806523492,240,https://openlibrary.org/books/OL24395470M/Ruby_Ann's_down_home_trailer_park_cookbook
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,206,https://openlibrary.org/books/OL3575860M/Ruby_Ann's_down_home_trailer_park_BBQin'_cookbook
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,0596527314,514,https://openlibrary.org/books/OL17933203M/Rails_cookbook
Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,0143035002,838,https://openlibrary.org/books/OL7361482M/Anna_Karenina
Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,0451528611,960,https://openlibrary.org/books/OL3569193M/Anna_Karenina
Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,0140449175,837,https://openlibrary.org/books/OL17138055M/Anna_Karenina
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,0822001837,80,https://openlibrary.org/books/OL24940302M/Anna_Karenina
Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,803,https://openlibrary.org/books/OL3696013M/Anna_Karenina
Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,0486437965,752,https://openlibrary.org/books/OL3306894M/Anna_Karenina
Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,1593081774,803,https://openlibrary.org/books/OL8870221M/Anna_Karenina_(Barnes_Noble_Classics)
Dinner with Anna Karenina,Gloria Goldreich,2.96,0778322270,368,https://openlibrary.org/books/OL8081279M/Dinner_With_Anna_Karenina
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,128,https://openlibrary.org/books/OL24769155M/Leo_Tolstoy_Anna_Karenina
Untouchable,Mulk Raj Anand-E.M. Forster,3.7,0140183957,160,https://openlibrary.org/books/OL25878973M/untouchable
The Untouchable,John Banville,3.96,0679767479,367,https://openlibrary.org/books/OL18554897M/The_untouchable
The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,256,https://openlibrary.org/books/OL8689505M/The_Untouchables
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,320,https://openlibrary.org/books/OL7948323M/Untouchables
Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,0932863051,100,https://openlibrary.org/books/OL18324336M/Dalit
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,0742508803,224,https://openlibrary.org/books/OL6783011M/Growing_up_untouchable_in_India
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,216,https://openlibrary.org/books/OL21768926M/The_evidence-based_social_work_skills_book
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello-Patty Carratello-Theresa Wright,3.94,1557344035,48,https://openlibrary.org/books/OL18333802M/A_guide_for_using_A_wrinkle_in_time_in_the_classroom
Wrinkles in Time,George Smoot-Keay Davidson,3.99,0380720442,360,no response found
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,0821925326,250,https://openlibrary.org/books/OL3559153M/A_wrinkle_in_time
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,043927169X,32,https://openlibrary.org/books/OL9430209M/Literature_Circle_Guide
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.01,0606105263,205,no response found
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,0751506435,367,https://openlibrary.org/books/OL26165550M/The_Long_Shadow
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,352,https://openlibrary.org/books/OL24968464M/A_long_shadow
Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,0743499344,320,https://openlibrary.org/books/OL7951741M/Long_Way_Round
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,331,https://openlibrary.org/books/OL3402052M/A_shadow_in_summer
New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,1400032490,244,https://openlibrary.org/books/OL3327658M/New_hope_for_the_dead
Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,1400032482,215,https://openlibrary.org/books/OL3309112M/Sideswipe
Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,191,https://openlibrary.org/books/OL3382743M/Miami_blues
I am Charlotte Simmons,Tom Wolfe,3.41,0312424442,738,https://openlibrary.org/books/OL9618146M/I_Am_Charlotte_Simmons
Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,0806930772,48,https://openlibrary.org/books/OL3941867M/Edward_Lear
The Puffin Book of Nonsense Verse,Quentin Blake,4.04,0140366601,287,https://openlibrary.org/books/OL7353997M/The_Penguin_Book_of_Nonsense_Verse_(Puffin_Poetry)
Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,0811201120,217,https://openlibrary.org/books/OL7999686M/Henry_Miller_on_Writing
Quiet Days in Clichy,Henry Miller,3.69,080213016X,154,https://openlibrary.org/books/OL21575014M/Quiet_days_in_Clichy
Tropic of Cancer,Henry Miller-Jiří Níl,3.69,0802131786,318,https://openlibrary.org/books/OL16836812M/Tropic_of_cancer
Tropic of Capricorn,Henry Miller,3.82,0802151825,348,https://openlibrary.org/books/OL18006159M/Tropic_of_Capricorn
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,0802151787,316,https://openlibrary.org/books/OL21574988M/Nexus
Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,0802151809,506,https://openlibrary.org/books/OL18349810M/Sexus
The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,292,https://openlibrary.org/books/OL7999681M/The_Air-Conditioned_Nightmare
The Portrait of a Lady,Henry James-Patricia Crick,3.77,0141439637,797,https://openlibrary.org/books/OL3707353M/The_portrait_of_a_lady
The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,1593080964,635,https://openlibrary.org/books/OL8870178M/The_Portrait_of_a_Lady_(Barnes_Noble_Classics_Series)_(Barnes_Noble_Classics)
The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,0375700528,117,https://openlibrary.org/books/OL67993M/The_lover
The War,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,1565842219,192,https://openlibrary.org/books/OL8666518M/The_War
The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,0394743040,181,https://openlibrary.org/books/OL2551331M/The_ravishing_of_Lol_Stein
Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,080215154X,133,https://openlibrary.org/books/OL22141871M/Destroy_she_said_Destruction_and_language
L'Amant de la Chine du Nord,Marguerite Duras,3.89,2070388093,246,https://openlibrary.org/books/OL19336782M/L'_amant_de_la_Chine_du_Nord
Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,1851681825,178,https://openlibrary.org/books/OL23125013M/Love_letters
Kahlil Gibran: His Life and World,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.2,156656249X,464,https://openlibrary.org/books/OL8669509M/Kahlil_Gibran
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,014019553X,102,https://openlibrary.org/books/OL67643M/The_beloved
Jesus the Son of Man,Kahlil Gibran-جبران خليل جبران,3.98,0394431243,216,https://openlibrary.org/books/OL7460377M/Jesus_the_Son_of_Man
The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,0806501901,132,https://openlibrary.org/books/OL17951333M/The_broken_wings
Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,067943920X,100,https://openlibrary.org/books/OL7699046M/Sand_and_Foam_(Kahlil_Gibran_Pocket_Library)
Treasure Island,Robert Louis Stevenson,3.83,0753453800,311,https://openlibrary.org/books/OL3945425M/Treasure_Island
Treasure Island,Robert Louis Stevenson-Scott McKowen,3.83,1402714572,213,https://openlibrary.org/books/OL8393390M/Treasure_Island_(Unabridged_Classics)
Treasure Island,Robert Louis Stevenson,3.83,1416500294,245,https://openlibrary.org/books/OL8456509M/Treasure_Island_(Enriched_Classics)
Treasure Island,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,0689854684,64,https://openlibrary.org/books/OL3554513M/Treasure_island
Treasure Island,Robert Louis Stevenson-Milo Winter,3.83,0517221144,272,https://openlibrary.org/books/OL3560063M/Treasure_Island
Treasure Island (Great Illustrated Classics),Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,1577658051,232,https://openlibrary.org/books/OL3955549M/Treasure_Island
Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,796,https://openlibrary.org/books/OL3558584M/Daniel_Deronda
100 Years of Lynchings,Ralph Ginzburg,4.63,0933121180,270,https://openlibrary.org/books/OL8387718M/100_Years_of_Lynchings
One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,0060531045,417,https://openlibrary.org/books/OL7277973M/One_Hundred_Years_of_Solitude
Cien años de soledad,Gabriel García Márquez,4.06,0785950109,448,https://openlibrary.org/books/OL8104162M/Cien_Años_de_Soledad
Cien años de soledad,Gabriel García Márquez,4.06,8423919005,456,https://openlibrary.org/books/OL9118288M/Cien_Años_de_Soledad_100_Years_of_Solitude
On Beyond Zebra!,Dr. Seuss,4.04,0394800842,64,https://openlibrary.org/books/OL20931455M/On_beyond_zebra
The Wedding Clause,Debbie Raleigh,3.58,0821778250,256,https://openlibrary.org/books/OL25975881M/The_Wedding_Clause
The Zebra Wall,Kevin Henkes,3.46,0060733039,147,https://openlibrary.org/books/OL7280557M/The_Zebra_Wall
El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,239,https://openlibrary.org/books/OL23132881M/El_perfume
Jitterbug Perfume,Tom Robbins,4.24,0553348981,352,https://openlibrary.org/books/OL21599309M/Jitterbug_perfume
Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,0140120831,263,https://openlibrary.org/books/OL22123184M/Perfume
Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,738,https://openlibrary.org/books/OL8788661M/Off_the_Main_Sequence
The Door Into Summer,Robert A. Heinlein,4.01,0345413997,304,https://openlibrary.org/books/OL9318611M/The_Door_into_Summer
The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,0312863551,382,https://openlibrary.org/books/OL24381288M/The_Moon_Is_A_Harsh_Mistress
Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,528,https://openlibrary.org/books/OL26843270M/Stranger_in_a_Strange_Land
The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,074348844X,56,https://openlibrary.org/books/OL7951411M/The_Notebooks_of_Lazarus_Long
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,434,https://openlibrary.org/books/OL24517298M/To_sail_beyond_the_sunset
Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,439,https://openlibrary.org/books/OL9428722M/Job
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,0765314932,256,https://openlibrary.org/books/OL8053619M/Time_for_the_Stars
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,0671742515,307,https://openlibrary.org/books/OL22250202M/The_long_dark_tea-time_of_the_soul
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,0345455290,298,https://openlibrary.org/books/OL9544207M/The_Salmon_of_Doubt
Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,0345418778,240,https://openlibrary.org/books/OL9486017M/Mostly_Harmless
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,0345476514,368,https://openlibrary.org/books/OL25286470M/Wish_you_were_here
Douglas Adams's Starship Titanic,Terry Jones,3.6,0345368436,256,https://openlibrary.org/books/OL25968976M/Douglas_Adamss_Starship_Titanic_A_Novel
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams-Christopher Cerf,3.92,1417622857,336,https://openlibrary.org/books/OL11760050M/Salmon_Of_Doubt
The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,0394820371,256,https://openlibrary.org/books/OL21383739M/The_Phantom_Tollbooth
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus-Norton Juster,4.1,0573650969,72,https://openlibrary.org/books/OL7859630M/The_phantom_tollbooth
On Bullshit,Harry G. Frankfurt,3.57,0691122946,67,https://openlibrary.org/books/OL7759033M/On_Bullshit
Another Bullshit Night in Suck City,Nick Flynn,3.78,0393329402,347,https://openlibrary.org/books/OL7454394M/Another_Bullshit_Night_in_Suck_City
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.13,0671867423,317,https://openlibrary.org/books/OL7666978M/Lincoln_at_Gettysburg
The Gettysburg Address,Abraham Lincoln-Michael McCurdy,4.53,0395883970,32,https://openlibrary.org/books/OL7468387M/The_Gettysburg_Address
Underworld,Don DeLillo,3.92,0684848155,827,https://openlibrary.org/books/OL22491728M/Underworld
